Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,26,2946,1832,4,416,675,48,439,3159,178,949
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project,26,2946,1832,4,416,675,48,439,3159,178,949
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external,13,1458,872,0,211,338,21,248,1983,102,744
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_BoltEffect,1,135,74,0,9,38,2,23,247,2,19
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_ChatBox,1,167,93,0,15,51,5,23,112,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_EasingFunctions,1,24,15,0,6,6,0,3,22,3,22
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_Encryption,4,252,133,0,19,63,0,56,493,54,488
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_Encryption\alphabets,2,38,27,0,0,11,0,0,0,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_HUDSystems,1,218,136,0,45,57,8,25,268,1,13
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\D4RK354B3R.Darke_Vectors,1,117,84,0,21,29,4,4,57,0,0
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\Forum_account.keyboard,2,273,149,0,26,52,0,72,532,20,103
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\Forum_account.text,1,238,174,0,68,38,0,26,155,10,43
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\external\ShadowDarke.sd_procs,1,34,14,0,2,4,2,16,97,12,56
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source,11,1305,836,4,197,287,22,182,1104,72,202
M:\Program Files\BYOND\Projects\JulyProject 2014\July-Project\source\Hex System,3,603,380,4,68,174,12,49,518,2,41
